Date,Conso_J1,Conso_J7,Conso_moy_3j,Conso_moy_7j,Temperature,Mois_sin,Mois_cos,Jour_semaine_sin,Jour_semaine_cos,Est_weekend,Est_ferie,Tempo,Consommation
2012-01-08,63160.56,51491.50,67125.74,64191.96,7.53,0.50,0.87,-0.78,0.62,1,0,-1,59032.98
2012-01-09,59032.98,60683.65,63750.94,65269.31,7.35,0.50,0.87,0.00,1.00,0,0,-1,67236.98
2012-01-10,67236.98,67762.10,63143.51,66205.50,7.97,0.50,0.87,0.78,0.62,0,0,-1,68558.04
2012-01-11,68558.04,68029.23,64942.67,66319.21,6.54,0.50,0.87,0.97,-0.22,0,0,-1,69084.58
2012-01-12,69084.58,69157.40,68293.20,66469.97,5.48,0.50,0.87,0.43,-0.90,0,0,-1,71466.04
2012-01-13,71466.04,69059.27,69702.89,66799.78,5.15,0.50,0.87,-0.43,-0.90,0,0,-1,71118.33
2012-01-14,71118.33,63160.56,70556.32,67093.93,2.32,0.50,0.87,-0.97,-0.22,1,0,-1,67795.38
2012-01-15,67795.38,59032.98,70126.58,67756.05,1.00,0.50,0.87,-0.78,0.62,1,0,-1,68019.58
2012-01-16,68019.58,67236.98,68977.76,69039.85,1.25,0.50,0.87,0.00,1.00,0,0,-1,76417.67
2012-01-17,76417.67,68558.04,70744.21,70351.38,0.47,0.50,0.87,0.78,0.62,0,0,-1,78678.44
2012-01-18,78678.44,69084.58,74371.90,71797.15,2.87,0.50,0.87,0.97,-0.22,0,0,-1,78560.69
2012-01-19,78560.69,71466.04,77885.60,73150.88,8.43,0.50,0.87,0.43,-0.90,0,0,-1,73027.21
2012-01-20,73027.21,71118.33,76755.44,73373.90,7.94,0.50,0.87,-0.43,-0.90,0,0,-1,69717.00
2012-01-21,69717.00,67795.38,73768.30,73173.71,9.56,0.50,0.87,-0.97,-0.22,1,0,-1,61644.23
2012-01-22,61644.23,68019.58,68129.48,72294.97,9.03,0.50,0.87,-0.78,0.62,1,0,-1,57609.10
2012-01-23,57609.10,76417.67,62990.11,70807.76,7.40,0.50,0.87,0.00,1.00,0,0,-1,66326.96
2012-01-24,66326.96,78678.44,61860.10,69366.23,6.03,0.50,0.87,0.78,0.62,0,0,-1,68944.17
2012-01-25,68944.17,78560.69,64293.41,67975.62,8.17,0.50,0.87,0.97,-0.22,0,0,-1,68222.48
2012-01-26,68222.48,73027.21,67831.20,66498.74,7.69,0.50,0.87,0.43,-0.90,0,0,-1,68444.96
2012-01-27,68444.96,69717.00,68537.20,65844.13,4.99,0.50,0.87,-0.43,-0.90,0,0,-1,69180.40
2012-01-28,69180.40,61644.23,68615.94,65767.47,4.01,0.50,0.87,-0.97,-0.22,1,0,-1,65197.35
2012-01-29,65197.35,57609.10,67607.57,66275.06,2.39,0.50,0.87,-0.78,0.62,1,0,-1,65640.92
2012-01-30,65640.92,66326.96,66672.89,67422.46,0.68,0.50,0.87,0.00,1.00,0,0,-1,77080.52
2012-01-31,77080.52,68944.17,69306.26,68958.68,0.74,0.50,0.87,0.78,0.62,0,0,-1,79758.04
2012-02-01,79758.04,68222.48,74159.83,70503.52,-1.38,0.87,0.50,0.97,-0.22,0,0,-1,83579.92
2012-02-02,83579.92,68444.96,80139.49,72697.44,-3.71,0.87,0.50,0.43,-0.90,0,0,-1,87524.02
2012-02-03,87524.02,69180.40,83620.66,75423.02,-4.58,0.87,0.50,-0.43,-0.90,0,0,-1,89247.92
2012-02-04,89247.92,65197.35,86783.95,78289.81,-4.27,0.87,0.50,-0.97,-0.22,1,0,-1,85132.44
2012-02-05,85132.44,65640.92,87301.46,81137.68,-4.11,0.87,0.50,-0.78,0.62,1,0,-1,83021.79
2012-02-06,83021.79,77080.52,85800.72,83620.66,-3.40,0.87,0.50,0.00,1.00,0,0,-1,88151.90
2012-02-07,88151.90,79758.04,85435.37,85202.29,-4.81,0.87,0.50,0.78,0.62,0,0,-1,91176.27
2012-02-08,91176.27,83579.92,87449.99,86833.46,-4.27,0.87,0.50,0.97,-0.22,0,0,-1,94096.69
2012-02-09,94096.69,87524.02,91141.62,88335.86,-3.55,0.87,0.50,0.43,-0.90,0,0,-1,92868.15
