,importance
Prevision_J1,0.9957103309424565
Conso_J1,0.0008317123057657255
Temperature_max,0.0006198168750987769
Conso_J7,0.0004565207314013594
Conso_moy_7j,0.00041486253244113475
Temperature,0.00039625739531338116
Conso_moy_3j,0.00036695414884808524
Temperature_min,0.0003624607156811253
Annee,0.0002392546448052143
Jour_semaine_sin,0.00011649653336068203
Mois_sin,0.00010711259098317078
Jour_semaine_cos,9.005330264931188e-05
Mois_cos,8.839963086517704e-05
Tempo,8.628861775389219e-05
Is_Covid,7.802775911649574e-05
Est_ferie,2.5043651164746988e-05
Est_weekend,1.0407622295268184e-05
