,importance
Conso_J1,0.8154536430635378
Conso_J7,0.07805254090859477
Temperature,0.025261600599332714
Temperature_max,0.023154928251144107
Conso_moy_7j,0.012680599005715184
Jour_semaine_sin,0.012415054339199809
Jour_semaine_cos,0.01108531903712137
Est_weekend,0.008847261506522106
Est_ferie,0.005440064621282079
Conso_moy_3j,0.003593265250343351
Temperature_min,0.0017355552865089207
Mois_cos,0.0007194601847940095
Annee,0.0006645888328169924
Mois_sin,0.00036719398410145764
Tempo,0.0003550360566268999
Is_Covid,0.00017388907235840983
